"","Binomial","mean_slope","mean_abundance_change","median_abundance_change","mean_temporal_shift","n_populations"
"1","Abramis_brama",0.0975945252305209,Inf,2.31954887218045,9.44444444444444,9
"2","Abramites_hypselonotus",-0.00203691543129724,-1,-1,9.66666666666667,9
"3","Abrawayaomys_ruschii",-0.00030389978481231,-1,-1,1,1
"4","Abrothrix_longipilis",0.0278051793816153,-0.269007537624761,-0.269007537624761,9.5,2
"5","Abrothrix_olivaceus",-0.193507419689532,-0.774525665838122,-0.69133062070277,7,3
"6","Abudefduf_bengalensis",-0.00949979136376303,-0.703449651046859,-0.76,15.3333333333333,3
"7","Abudefduf_saxatilis",0.113503834891967,0.0993371212121212,0.234375,4,3
"8","Abudefduf_sexfasciatus",0.0185072038372728,Inf,9.33333333333333,13,3
"9","Abudefduf_sordidus",-0.00879757890575117,0.6,0.6,15,1
"10","Abudefduf_vaigiensis",-0.0319720014853372,-0.707171217753209,-0.733125,13.75,4
"11","Acanthaluteres_vittiger",-0.0436857012788059,-0.346922691394732,-0.518895329766607,10,4
"12","Acanthemblemaria_aspera",0.0455485957859995,Inf,Inf,15,1
"13","Acanthemblemaria_spinosa",-0.0230283684374663,-0.974789915966387,-0.974789915966387,15,1
"14","Acanthis_flammea",0.0209132069897709,Inf,2.22222222222222,23.7692307692308,13
"15","Acanthistius_sebastoides",0.000658249949082025,0.666666666666667,0.666666666666667,7,1
"16","Acanthiza_apicalis",-0.0136153621333879,-0.0806451612903226,-0.0806451612903226,1,1
"17","Acanthiza_reguloides",-0.065803675660261,-1,-1,11,1
"18","Acanthiza_uropygialis",-0.0251113181702714,-0.842796809009855,-0.842796809009855,28,1
"19","Acanthochromis_polyacanthus",0.183305935190245,0.796551097164594,0.349693251533742,1,3
"20","Acanthocybium_solandri",0.0109092224006593,0.195876288659794,0.195876288659794,11,1
"21","Acanthodactylus_scutellatus",0.120150675781584,0.318793619142572,0.318793619142572,1,1
"22","Acanthodoras_spinosissimus",-0.00886941856591896,-1,-1,10,2
"23","Acanthogobius_flavimanus",-0.250672217045255,-0.971264367816092,-0.971264367816092,4,1
"24","Acanthopagrus_australis",0.061485669029164,21.6823197700133,1.08771929824561,3.8,5
"25","Acanthopagrus_berda",0.0446519215660439,2.60499007936508,-0.2225,7.75,8
"26","Acanthopagrus_butcheri",0.304709617861005,4.75267926549952,4.75267926549952,9,2
"27","Acanthopagrus_schlegelii",0.0491741859580112,Inf,Inf,15,2
"28","Acanthophis_praelongus",0.00925108906341847,6.33333333333333,6.33333333333333,11,1
"29","Acanthostracion_quadricornis",0.000220213962770843,0.142857142857143,0.142857142857143,31,1
"30","Acanthurus_achilles",-0.00499118448781039,-0.0959258382205815,-0.266470732304678,14,3
"31","Acanthurus_bahianus",0.00575669128209283,0.188174466329448,0.188174466329448,9.5,2
