rep,Ne,n0,n1,L,pi0,pi1,relative_change,num_sites
0,100,1,1,1,0.0,0.0,,0
0,100,1,1,2,0.0,0.0,,0
0,100,1,1,5,0.0,0.0,,0
0,100,1,1,10,0.0,0.0,,0
0,100,1,1,20,0.0,0.0,,0
0,100,1,1,50,,,,1
0,100,1,1,100,0.0,0.0,,0
0,100,1,1,200,0.0,0.0,,0
0,100,1,1,500,,,,1
0,100,1,1,1000,,,,4
0,100,1,1,2000,,,,13
0,100,1,1,5000,,,,15
0,100,1,1,10000,,,,10
0,100,1,1,20000,,,,10
0,100,1,1,50000,,,,521
0,100,1,1,100000,,,,254
0,100,1,1,200000,,,,169
0,100,1,1,500000,,,,979
0,100,1,1,1000000,,,,5954
0,100,2,2,1,0.0,0.0,,0
0,100,2,2,2,0.0,0.0,,0
0,100,2,2,5,0.0,0.0,,0
0,100,2,2,10,0.0,0.0,,0
0,100,2,2,20,0.0,0.0,,0
0,100,2,2,50,0.0,0.0,,0
0,100,2,2,100,0.0,0.0,,0
0,100,2,2,200,0.005,0.0,-100.0,1
0,100,2,2,500,0.004,0.0,-100.0,2
0,100,2,2,1000,0.005,0.0,-100.0,5
0,100,2,2,2000,0.0015,0.001,-33.333333333333336,3
0,100,2,2,5000,0.0006,0.0024,300.0,15
0,100,2,2,10000,0.001,0.0,-100.0,23
0,100,2,2,20000,0.0056,0.00555,-0.8928571428571375,173
0,100,2,2,50000,0.00076,0.0148,1847.3684210526317,769
0,100,2,2,100000,0.00489,0.00271,-44.58077709611452,730
0,100,2,2,200000,0.00181,1.5e-05,-99.17127071823204,367
0,100,2,2,500000,0.00069,0.004316,525.5072463768116,2348
0,100,2,2,1000000,0.007272,0.000679,-90.66281628162817,18280
0,100,5,5,1,0.0,0.0,,0
0,100,5,5,2,0.0,0.0,,0
0,100,5,5,5,0.0,0.0,,0
0,100,5,5,10,0.0,0.0,,0
0,100,5,5,20,0.0,0.0,,0
0,100,5,5,50,0.0,0.0,,0
0,100,5,5,100,0.012000000000000002,0.012000000000000002,0.0,3
0,100,5,5,200,0.0,0.0,,0
0,100,5,5,500,0.004,0.0096,139.99999999999997,11
0,100,5,5,1000,0.0089,0.008799999999999999,-1.1235955056179903,19
0,100,5,5,2000,0.0036000000000000003,0.0038999999999999994,8.333333333333306,18
0,100,5,5,5000,0.002160000000000001,0.00212,-1.851851851851896,32
0,100,5,5,10000,0.003760000000000003,0.004100000000000003,9.042553191489356,84
0,100,5,5,20000,0.005359999999999991,0.005019999999999992,-6.343283582089532,212
0,100,5,5,50000,0.002340000000000011,0.002568000000000013,9.743589743589787,390
0,100,5,5,100000,0.005081999999999961,0.0019780000000000023,-61.078315623769825,1445
0,100,5,5,200000,0.00396599999999997,0.002796000000000017,-29.50075642965109,1921
0,100,5,5,500000,0.007626399999999998,0.007196999999999878,-5.630441623834572,8242
0,100,5,5,1000000,0.006379799999999303,0.005080300000000005,-20.36897708391236,14364
0,100,10,10,1,0.0,0.0,,0
0,100,10,10,2,0.0,0.0,,0
0,100,10,10,5,0.0,0.0,,0
