"","PaperID","RowID","Citation","Journal","ISO.Abbreviation","WOS.Category","JIF.Category.Percentile.2020","Publication_Year","Binomen.rotl","ott_id","Subspecies","Common.Name","Kingdom","Phylum","Class","Order","Family","Invasive_100","Red.List.status","Threat","Domestic.Pest.Pathogen.Status","Gen.length","Realm","Location","Eco_D","Eco_E","Eco_F","Eco_H","Eco_I","Eco_L","Eco_N","Eco_O","Eco_S","Eco_U","Eco_V","Eco_X","Ecological.Disturbance.Any","Cons_A","Cons_B","Cons_E","Cons_F","Cons_I","Cons_L","Cons_N","Cons_P","Cons_R","Cons_S","Cons_T","Cons_U","Management.intensity","Conservation.Action.Any","Conservation.Action.Legal","Early.Sampling.Year","Recent.Sampling.Year","Interval","Year.Midpoint","Z.Year","Z.Year.Midpoint","Study.Duration","Gen.interval","Z.Gen.interval","Early.Sample.N","Recent.Sample.N","Total.N","AR.N","Genome","Marker.Type","Marker.Type.2","Marker.Type.Grouped","N.bp","N.Loci","N.Loci.BP","Diversity.Type","Other.Direction","Diversity.Type.Group","Error.Type","Statistical.Method","Statistic.Type","Statistic","Error","Early.Diversity","Early.Error","Recent.Diversity","Recent.Error","Did.You.Calculate.Mean.and.or.SD.","Number.of.Datapoints.in.Calculation.Early","Number.of.Datapoints.in.Calculation.Recent","Model.Type","Early.Ne","Early.Ne.Error","Recent.Ne","Recent.Ne.Error","Ne.Type","Xa.Gens","Xa.Gens.Error","Xa.Years","Xa.Years.Error","Mu","Mu.Error","Early.Year.Calculated","ES.Early.N","ES.Recent.N","ES.Total.N","ES.Early.SD","ES.Recent.SD","HedgesG","HedgesG.err","Extreme.Value","observation","M.Gen.interval","M.Year.Midpoint"
"1","Anderson et al. - 2014 - Genetic Structure of Striped Bass in the Southeast.pdf","3212","Anderson, A. P., Denson, M. R., & Darden, T. L. (2014). Genetic Structure of Striped Bass in the Southeastern United States and Effects from Stock Enhancement. North American Journal of Fisheries Management, 34, 653 to 667. doi: 10.1080/02755947.2014.902409","North American Journal of Fisheries Management","North Am. J. Fish Manage.","Fisheries",30,2014,"Morone saxatilis",223669,NA,"Striped bass","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","N","LC","Non-threatened",NA,5.25,"Nearctic","Ashepoo-Combahee-Edisto watershed, South Carolina, USA",0,0,0,1,1,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1992.5,2008.5,16,2000.5,0.308021646,0.059484281,"Medium",3.047619048,-0.037411367,27,186,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,12,NA,"Ne",NA,"Group4","95CL",2,NA,NA,NA,29,"21;44",23,"21;25","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",12,12,NA,20.32508601,3.534797566,-0.397121568,0.169952199,NA,1,0.647619048,0
"2","Anderson et al. - 2014 - Genetic Structure of Striped Bass in the Southeast.pdf","3213","Anderson, A. P., Denson, M. R., & Darden, T. L. (2014). Genetic Structure of Striped Bass in the Southeastern United States and Effects from Stock Enhancement. North American Journal of Fisheries Management, 34, 653 to 667. doi: 10.1080/02755947.2014.902409","North American Journal of Fisheries Management","North Am. J. Fish Manage.","Fisheries",30,2014,"Morone saxatilis",223669,NA,"Striped bass","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","N","LC","Non-threatened",NA,5.25,"Nearctic","Santee-Cooper water system, South Carolina, USA",0,0,0,1,0,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1992.5,2008.5,16,2000.5,0.308021646,0.059484281,"Medium",3.047619048,-0.037411367,166,265,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,12,NA,"Ne",NA,"Group4","95CL",2,NA,NA,NA,150,"121;191",79,"71;89","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",12,12,NA,61.85895741,15.90658905,-1.517844355,0.214663573,NA,2,0.647619048,0
"3","Anderson et al. - 2014 - Genetic Structure of Striped Bass in the Southeast.pdf","3214","Anderson, A. P., Denson, M. R., & Darden, T. L. (2014). Genetic Structure of Striped Bass in the Southeastern United States and Effects from Stock Enhancement. North American Journal of Fisheries Management, 34, 653 to 667. doi: 10.1080/02755947.2014.902409","North American Journal of Fisheries Management","North Am. J. Fish Manage.","Fisheries",30,2014,"Morone saxatilis",223669,NA,"Striped bass","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","N","LC","Non-threatened",NA,5.25,"Nearctic","Upper Santee water system, South Carolina, USA",0,0,0,1,0,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1992.5,2008.5,16,2000.5,0.308021646,0.059484281,"Medium",3.047619048,-0.037411367,134,32,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,12,NA,"Ne",NA,"Group4","95CL",2,NA,NA,NA,119,"96;152",109,"59;464","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",12,12,NA,49.48716593,357.8982536,-0.037792271,0.166696422,NA,3,0.647619048,0
"4","Anderson et al. - 2014 - Genetic Structure of Striped Bass in the Southeast.pdf","3215","Anderson, A. P., Denson, M. R., & Darden, T. L. (2014). Genetic Structure of Striped Bass in the Southeastern United States and Effects from Stock Enhancement. North American Journal of Fisheries Management, 34, 653 to 667. doi: 10.1080/02755947.2014.902409","North American Journal of Fisheries Management","North Am. J. Fish Manage.","Fisheries",30,2014,"Morone saxatilis",223669,NA,"Striped bass","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","N","LC","Non-threatened",NA,5.25,"Nearctic","Lake Marion, South Carolina, USA",0,0,0,1,0,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1992.5,2008.5,16,2000.5,0.308021646,0.059484281,"Medium",3.047619048,-0.037411367,32,270,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,12,NA,"Ne",NA,"Group4","95CL",2,NA,NA,NA,67,"41;142",43,"39;47","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",12,12,NA,89.25363855,7.069595133,-0.366017829,0.169457689,NA,4,0.647619048,0
"5","Arnaud-Haond et al. - 2004 - Spatio-temporal variation in the genetic compositi.pdf","A_336","Arnaud-Haond, S., Vonau, V., Bonhomme, F., Boudry, P., Blanc, F., Prou, J., Ö Goyard, E. (2004). Spatio-temporal variation in the genetic composition of wild populations of pearl oyster (Pinctada margaritifera cumingii) in French Polynesia following 10 years of juvenile translocation. Molecular Ecology, 13, 2001 to 2007. doi: 10.1111/j.1365-294X.2004.02188.x","Molecular Ecology","Mol. Ecol.","Ecology",90.66,2004,"Pinctada margaritifera",175233,NA,"pearl oyster","Animalia","Mollusca","Bivalvia","Ostreida","Margaritidae","N",NA,"Unknown",NA,4,"Palearctic","Tuamotu-Gambier - TA",0,0,0,1,0,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1980,2000,20,1990,-0.581420703,0.040146104,"Medium",5,-0.03453994,26,39,NA,NA,"Nuclear","AFLP",NA,"AFLP",NA,3,NA,"He",NA,"Group2","SD",2,NA,NA,NA,0.393,"0.21",0.306,"0.121","Yes",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3,3,NA,0.21,0.121,-0.406119245,0.68041107,NA,5,2.6,-10.5
"6","Arnaud-Haond et al. - 2004 - Spatio-temporal variation in the genetic compositi.pdf","A_337","Arnaud-Haond, S., Vonau, V., Bonhomme, F., Boudry, P., Blanc, F., Prou, J., Ö Goyard, E. (2004). Spatio-temporal variation in the genetic composition of wild populations of pearl oyster (Pinctada margaritifera cumingii) in French Polynesia following 10 years of juvenile translocation. Molecular Ecology, 13, 2001 to 2007. doi: 10.1111/j.1365-294X.2004.02188.x","Molecular Ecology","Mol. Ecol.","Ecology",90.66,2004,"Pinctada margaritifera",175233,NA,"pearl oyster","Animalia","Mollusca","Bivalvia","Ostreida","Margaritidae","N",NA,"Unknown",NA,4,"Palearctic","Tuamotu-Gambier - TA",0,0,0,1,0,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1980,2000,20,1990,-0.581420703,0.040146104,"Medium",5,-0.03453994,26,39,NA,NA,"Nuclear","AFLP",NA,"AFLP",NA,3,NA,"Ho",NA,"Group3","SD",2,NA,NA,NA,0.471,"0.285",0.345,"0.154","Yes",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3,3,NA,0.285,0.154,-0.440050917,0.682803734,NA,6,2.6,-10.5
"7","Arnaud-Haond et al. - 2004 - Spatio-temporal variation in the genetic compositi.pdf","A_338","Arnaud-Haond, S., Vonau, V., Bonhomme, F., Boudry, P., Blanc, F., Prou, J., Ö Goyard, E. (2004). Spatio-temporal variation in the genetic composition of wild populations of pearl oyster (Pinctada margaritifera cumingii) in French Polynesia following 10 years of juvenile translocation. Molecular Ecology, 13, 2001 to 2007. doi: 10.1111/j.1365-294X.2004.02188.x","Molecular Ecology","Mol. Ecol.","Ecology",90.66,2004,"Pinctada margaritifera",175233,NA,"pearl oyster","Animalia","Mollusca","Bivalvia","Ostreida","Margaritidae","N",NA,"Unknown",NA,4,"Palearctic","Marquesas - HO",0,0,0,1,0,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1980,2000,20,1990,-0.581420703,0.040146104,"Medium",5,-0.03453994,37,31,NA,NA,"Nuclear","AFLP",NA,"AFLP",NA,3,NA,"He",NA,"Group2","SD",2,NA,NA,NA,0.373,"0.211",0.366,"0.209","Yes",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3,3,NA,0.211,0.209,-0.026666364,0.666725925,NA,7,2.6,-10.5
"8","Arnaud-Haond et al. - 2004 - Spatio-temporal variation in the genetic compositi.pdf","A_339","Arnaud-Haond, S., Vonau, V., Bonhomme, F., Boudry, P., Blanc, F., Prou, J., Ö Goyard, E. (2004). Spatio-temporal variation in the genetic composition of wild populations of pearl oyster (Pinctada margaritifera cumingii) in French Polynesia following 10 years of juvenile translocation. Molecular Ecology, 13, 2001 to 2007. doi: 10.1111/j.1365-294X.2004.02188.x","Molecular Ecology","Mol. Ecol.","Ecology",90.66,2004,"Pinctada margaritifera",175233,NA,"pearl oyster","Animalia","Mollusca","Bivalvia","Ostreida","Margaritidae","N",NA,"Unknown",NA,4,"Palearctic","Marquesas - HO",0,0,0,1,0,0,0,0,0,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1980,2000,20,1990,-0.581420703,0.040146104,"Medium",5,-0.03453994,37,31,NA,NA,"Nuclear","AFLP",NA,"AFLP",NA,3,NA,"Ho",NA,"Group3","SD",2,NA,NA,NA,0.431,"0.26",0.393,"0.256","Yes",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",3,3,NA,0.26,0.256,-0.117825917,0.667823579,NA,8,2.6,-10.5
"9","Arrendal et al. - 2004 - Genetic evaluation of an otter translocation progr.pdf","28","Arrendal, J., Walker, C. W., Sundqvist, A. K., Hellborg, L., & Vil‡, C. (2004). Genetic evaluation of an otter translocation program. Conservation Genetics, 5, 79 to 88. doi: 10.1023/B:COGE.0000014059.49606.dd","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2004,"Lutra lutra",348036,NA,"Eurasian otter","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","N","NT","Non-threatened",NA,3.3,"Palearctic","Sweden",0,0,0,0,0,0,0,0,1,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1975,1996,21,1985.5,-0.581420703,0.031858314,"Medium",6.363636364,-0.032534398,15,20,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,6,NA,"He",NA,"Group2","SD",2,NA,NA,NA,0.694,"0.03",0.613,"0.048","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",6,6,NA,0.03,0.048,-1.868063594,0.4787359,NA,9,3.963636364,-15
"10","Arrendal et al. - 2004 - Genetic evaluation of an otter translocation progr.pdf","29","Arrendal, J., Walker, C. W., Sundqvist, A. K., Hellborg, L., & Vil‡, C. (2004). Genetic evaluation of an otter translocation program. Conservation Genetics, 5, 79 to 88. doi: 10.1023/B:COGE.0000014059.49606.dd","Conservation Genetics","Conserv. Genet.","Biodiversity Conservation",59.17,2004,"Lutra lutra",348036,NA,"Eurasian otter","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","N","NT","Non-threatened",NA,3.3,"Palearctic","Sweden",0,0,0,0,0,0,0,0,1,0,0,0,"Any",0,0,0,0,0,0,0,0,0,1,0,0,"Population","Action","Any other",1975,1996,21,1985.5,-0.581420703,0.031858314,"Medium",6.363636364,-0.032534398,15,20,NA,NA,"Nuclear","Microsatellite",NA,"Microsatellite",NA,6,NA,"Ho",NA,"Group3","SD",2,NA,NA,NA,0.656,"0.05",0.642,"0.044","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",6,6,NA,0.05,0.044,-0.274400664,0.336470655,NA,10,3.963636364,-15
