"","Recent.Diversity","Early.Diversity","Percent.Change","Lower.CI","Upper.CI","SE.Percent.Change","SE.Percent.Change.delta","SE.Diff","Log.Change","SE.Log.Change","Effective.N","Hedges.g.recalc","Hedges.g.SE.recalc","Hedges.g.CI.lower.recalc","Hedges.g.CI.upper.recalc","SD.Percent.Change","CV.Percent.Change","pvalue","pvalue_signed","pvalue_color","Percent.Change.truncated","n0","n1","totalbp","pvalueconservative","HedgesG","HedgesG.err","Gen.interval","N.Loci","Early.Sample.N","Recent.Sample.N","Binomen.rotl","PaperID","Z.Year.Midpoint","Z.Gen.interval","Interval","Marker.Type","observation","Kingdom","Order","Family","M.Gen.interval","M.Year.Midpoint"
"1",3.67,4.83,-24.0165631469979,-39.8116647356075,-8.22146155838835,8.05872530031101,7.62555870054725,0.389236432005022,-0.274654805598002,0.10035817036415,17.1428571428571,-0.909979902300918,0.358463588293512,-1.6125685353562,-0.207391269245633,25.7880041727749,107.375913926296,0.0143786125577974,-0.0143786125577974,0,-24.0165631469979,15,20,6,0.0198663427551802,-0.898158543,0.366945365,6.363636364,6,15,20,"Lutra lutra","Arrendal et al. - 2004 - Genetic evaluation of an otter translocation progr.pdf",0.031858314,-0.032534398,21,"Microsatellite",11,"Animalia","Carnivora","Mustelidae",4.363636364,-15.5
"2",9.42,9.53667,-1.22338300475953,-1.4642963988645,-0.982469610654565,0.122914996992331,0.121661228673423,0.0117219976436685,-0.0123092793337136,0.00123168045610719,82.3846153846154,-1.77981831694194,0.181601200470687,-2.13575666986449,-1.4238799640194,0.684495981621778,55.9510781953622,0.103190710217494,-0.103190710217494,0,-1.22338300475953,63,119,9,0.104939458364424,-1.324681366,0.812898394,2.947368421,9,63,119,"Alosa sapidissima","Aunins et al. - 2014 - Genetic Evaluation of Supplementation-Assisted Ame.pdf",0.058563416,-0.037558808,14,"Microsatellite",12,"Animalia","Clupeiformes","Clupeidae",0.947368421,-1
"3",3.36,3.43,-2.04081632653062,-24.2106124934565,20.1289798403952,11.3111204933295,11.1404618191787,0.387971432921202,-0.0206192872027358,0.113725547737449,32.5233644859813,-0.0389807295790696,0.247994663910609,-0.525050270843862,0.447088811685723,51.9796396409151,2547.00234240483,0.744733950754103,-0.744733950754103,0,-2.04081632653062,20,87,16,0.745381890082655,-0.040707284,0.125025892,3.333333333,16,20,87,"Peromyscus polionotus","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf",0.078822458,-0.036991158,2,"Microsatellite",14,"Animalia","Rodentia","Cricetidae",1.333333333,10
"4",2.64,2.72,-2.94117647058824,-17.4325836978237,11.5502307566472,7.39357511593645,7.2195184167397,0.201105243153471,-0.0298529631496812,0.0743829170209544,54.1556886227545,-0.0770095319275935,0.192219451644734,-0.453759657151272,0.299740593296085,38.0185040289554,1292.62913698448,0.549006246426139,-0.549006246426139,0,-2.94117647058824,34,133,16,0.549828162262322,-0.074958849,0.125087794,3.333333333,16,34,133,"Peromyscus polionotus","Austin et al. - 2015 - Conspicuous genetic structure belies recent disper.pdf",0.078822458,-0.036991158,2,"Microsatellite",15,"Animalia","Rodentia","Cricetidae",1.333333333,10
"5",2.36,2.5,-5.6,-15.5842834104837,4.38428341048364,5.09402214820594,4.92303334269743,0.127350553705149,-0.0576291128366364,0.0521507769353541,85.4237288135593,-0.168347480238769,0.15327347252245,-0.468763486382772,0.132068525905233,33.1217649193655,591.460087845813,0.704172878194597,-0.704172878194597,0,-5.6,72,105,5,0.704633249833757,-0.152317895,0.401160037,1.714285714,5,72,105,"Salvelinus namaycush","Baillie-2016-Loss of genetic diversity and red.pdf",0.064088609,-0.039372341,12,"Microsatellite",20,"Animalia","Salmoniformes","Salmonidae",-0.285714286,2
"6",2.32,2.52,-7.93650793650794,-20.7496646969155,4.8766488238996,6.53732487775895,6.30379405680203,0.164740586919526,-0.0826917158451134,0.0684722457894014,55.7142857142857,-0.228576673853072,0.190080726939421,-0.601134898654336,0.143981550948193,34.4841491754354,434.500279610486,0.605329025910117,-0.605329025910117,0,-7.93650793650794,60,52,5,0.606366428106573,-0.207816823,0.402159392,1.714285714,5,60,52,"Salvelinus namaycush","Baillie-2016-Loss of genetic diversity and red.pdf",0.064088609,-0.039372341,12,"Microsatellite",21,"Animalia","Salmoniformes","Salmonidae",-0.285714286,2
"7",2.34,2.38,-1.68067226890756,-10.0273085006784,6.66596396286331,4.25848787335249,4.21708847263961,0.101352011385789,-0.0169495583137733,0.0428917545507789,137.567375886525,-0.0474970030925407,0.120591585975852,-0.28385651160521,0.188862505420129,35.2899411751216,2099.75149991973,0.914414839070191,-0.914414839070191,0,-1.68067226890756,119,163,5,0.914491805058543,-0.042998583,0.400092444,1.714285714,5,119,163,"Salvelinus namaycush","Baillie-2016-Loss of genetic diversity and red.pdf",0.064088609,-0.039372341,12,"Microsatellite",22,"Animalia","Salmoniformes","Salmonidae",-0.285714286,2
"8",2.54,2.52,0.793650793650794,-19.8913116940662,21.4786132813678,10.5535522896515,10.5676071602324,0.265949517699218,0.00790517950711325,0.104843976550337,25.3506493506494,0.0226258373641955,0.280885682857095,-0.52791010103571,0.573161775764101,34.7252448412275,4375.38084999466,0.960513658900181,0.960513658900181,0,0.793650793650794,61,16,5,0.960645271160985,0.019804574,0.400019611,1.714285714,5,61,16,"Salvelinus namaycush","Baillie-2016-Loss of genetic diversity and red.pdf",0.064088609,-0.039372341,12,"Microsatellite",23,"Animalia","Salmoniformes","Salmonidae",-0.285714286,2
"9",2.28,2.48,-8.06451612903227,-34.2214785306891,18.0924462726245,13.3453889804371,13.2960978643448,0.330965646714841,-0.0840831172105414,0.144624222384102,9.30555555555556,-0.330010984054098,0.464415410466478,-1.2402651885684,0.5802432204602,24.1743496044683,299.761935095406,0.497826823054366,-0.497826823054366,0,-8.06451612903227,67,5,5,0.500061564068869,-0.273704485,0.403745707,1.714285714,5,67,5,"Salvelinus namaycush","Baillie-2016-Loss of genetic diversity and red.pdf",0.064088609,-0.039372341,12,"Microsatellite",24,"Animalia","Salmoniformes","Salmonidae",-0.285714286,2
"10",2.32,2.52,-7.93650793650794,-23.8095363301349,7.93652045711902,8.09848387429947,7.93494655651473,0.204081793632347,-0.0826917158451134,0.0861899367345566,40.8648648648649,-0.209761051571718,0.22167542891138,-0.644244892238023,0.224722789094586,37.575008992172,473.445113301367,0.630560797424565,-0.630560797424565,0,-7.93650793650794,84,27,5,0.631524780043,-0.19327333,0.401867729,1.714285714,5,84,27,"Salvelinus namaycush","Baillie-2016-Loss of genetic diversity and red.pdf",0.064088609,-0.039372341,12,"Microsatellite",25,"Animalia","Salmoniformes","Salmonidae",-0.285714286,2
