"","Recent.Diversity","Early.Diversity","Percent.Change","Lower.CI","Upper.CI","SE.Percent.Change","SE.Percent.Change.delta","SE.Diff","Log.Change","SE.Log.Change","Effective.N","Hedges.g.recalc","Hedges.g.SE.recalc","Hedges.g.CI.lower.recalc","Hedges.g.CI.upper.recalc","SD.Percent.Change","CV.Percent.Change","pvalue","pvalue_signed","pvalue_color","Percent.Change.truncated","n0","n1","totalbp","pvalueconservative","HedgesG","HedgesG.err","Gen.interval","N.Loci","Early.Sample.N","Recent.Sample.N","Binomen.rotl","PaperID","Z.Year.Midpoint","Z.Gen.interval","Interval","Marker.Type","observation","Kingdom","Order","Family","M.Gen.interval","M.Year.Midpoint"
"1",0.031,0.034,-8.82352941176471,-29.6084720585571,11.9614132350277,10.6045625748941,9.96613379155449,0.00360555127546399,-0.0923733201310152,0.109305983520275,30.4918032786885,-0.211678325360346,0.256824208728521,-0.715053774468247,0.291697123747555,41.1515378153842,466.38409524102,0.00133078561655586,-0.00133078561655586,0,-8.82352941176471,30,31,1,0.00215341739453034,-0.211678325,0.065958674,5.192307692,1,30,31,"Tympanuchus cupido","Bateson-2014-Genetic restoration of a threaten.pdf",0.066390773,-0.034257107,13.5,"Haplotype",40,"Animalia","Galliformes","Phasianidae",3.192307692,3.75
"2",0.075,0.075,0,-15.9373006792611,15.9373006792611,8.13127585676587,8.13127585676587,0.0060984568925744,0,0.0813127585676587,7.1578947368421,0,0.528594139870924,-1.03604451414701,1.03604451414701,30.8328828795925,Inf,1,NA,0,0,4,34,118,1,0,0.016949153,5.625,118,4,34,"Salvelinus leucomaenis","Kikko et al. - 2008 - Genetic diversity and population structure of whit.pdf",0.055800819,-0.033620733,9,"AFLP",258,"Animalia","Salmoniformes","Salmonidae",3.625,-2
"3",0.084,0.069,21.7391304347826,4.25512407375993,39.2231367958053,8.92041140868504,9.80361709917552,0.00615508387199268,0.196710294246054,0.0805297118860847,5.4375,0.60371401445756,0.611155418248781,-0.594150605310051,1.80157863422517,35.1011979550356,161.465510593164,0,0,1,21.7391304347826,3,29,118,0,0.814480348,0.018354615,5.625,118,3,29,"Salvelinus leucomaenis","Kikko et al. - 2008 - Genetic diversity and population structure of whit.pdf",0.055800819,-0.033620733,9,"AFLP",259,"Animalia","Salmoniformes","Salmonidae",3.625,-2
"4",0.067,0.085,-21.1764705882353,-47.4906774158951,5.13773623942451,13.4256157283979,12.7487845589415,0.0114117733691382,-0.23795863709935,0.161738311568661,8.07692307692308,-0.420843157529921,0.501023940765122,-1.40285008142956,0.561163766369717,48.730125632665,230.114482154252,0,0,-1,-21.1764705882353,5,21,118,0,-0.541718282,0.017570887,5,118,5,21,"Salvelinus leucomaenis","Kikko et al. - 2008 - Genetic diversity and population structure of whit.pdf",0.054879953,-0.03453994,8,"AFLP",260,"Animalia","Salmoniformes","Salmonidae",3,-2.5
"5",0.278,0.264,5.30303030303031,-18.0359016756621,28.6419622817227,11.9076183564757,12.4028237127625,0.0314361124610959,0.0516720105443209,0.117782210797457,8.72727272727273,0.21944775294045,0.479855343960409,-0.721068721221952,1.15996422710285,23.2476721091388,438.384674058046,0,0,1,5.30303030303031,6,16,118,3.98334698559211e-11,0.219215281,0.017050965,5,118,6,16,"Salvelinus leucomaenis","Kikko et al. - 2008 - Genetic diversity and population structure of whit.pdf",0.054879953,-0.03453994,8,"AFLP",261,"Animalia","Salmoniformes","Salmonidae",3,-2.5
"6",0.095,0.085,11.7647058823529,-22.3623529411765,45.8917647058823,17.4117647058824,19.2191481087776,0.0148,0.111225635110224,0.17196079886801,5.35714285714286,0.375555862098285,0.613067650546692,-0.826056732973231,1.5771684571698,30.4137032561737,258.516477677477,0,0,1,11.7647058823529,3,25,118,0,0.398397987,0.017285426,5.625,118,3,25,"Salvelinus leucomaenis","Kikko et al. - 2008 - Genetic diversity and population structure of whit.pdf",0.055800819,-0.033620733,9,"AFLP",262,"Animalia","Salmoniformes","Salmonidae",3.625,-2
"7",0.0267,0.0317,-15.7728706624606,-21.4732830082947,-10.0724583166265,2.90837364583372,2.65362554114745,0.000921954445729289,-0.171653115477031,0.0315055916308518,8.23529411764706,-2.52519936966304,0.656052695016128,-3.81106265189465,-1.23933608743143,5.92858546919042,37.5872318746672,0,0,-1,-15.7728706624606,7,10,15395,0,-0.06181233,0.000129974,0.078740157,15395,7,10,"Lagenorhynchus acutus","Fernandez et al. - 2016 - A genomewide catalogue of single nucleotide polymo.pdf",0.065009475,-0.041777789,1,"SNPs",1362,"Animalia","Cetacea","Delphinidae",-1.921259843,3
"8",0.0164,0.0142,15.4929577464789,-17.0826208259629,48.0685363189206,16.620193149205,17.9815952035963,0.00236006742718711,0.144039370222938,0.155694299933578,15.2205882352941,0.298085837972166,0.364290625480509,-0.415923787969631,1.01209546391396,50.7470682590875,327.549258763201,0.580514256052258,0.580514256052258,0,15.4929577464789,11.5,22.5,937,0.584354259857759,0.279005558,0.504865256,238.8059701,NA,11.5,22.5,"Drosophila pseudoobscura","Gredler et al. - 2015 - Temporal Stability of Molecular Diversity Measures.pdf",0.067772071,0.309325725,16,"Nucleotide",1615,"Animalia","Diptera","Drosophilidae",236.8059701,4.5
"9",0.00797,0.00838,-4.89260143198091,-49.2444592814958,39.459256417534,22.6284989028137,21.6292957045206,0.00189626820805579,-0.0501634216918681,0.227419696366227,7.8974358974359,-0.137255966183411,0.503716001000063,-1.12453932814353,0.850027395776712,34.0960015125089,696.889006523961,0.832571158864193,-0.832571158864193,0,-4.89260143198091,5.5,14,937,0.8350135420616,-0.105850603,0.500700272,160,NA,5.5,14,"Drosophila persimilis","Gredler et al. - 2015 - Temporal Stability of Molecular Diversity Measures.pdf",0.067772071,0.19342335,16,"Nucleotide",1617,"Animalia","Diptera","Drosophilidae",158,4.5
"10",0.146,0.147,-0.680272108843538,-18.1000565187864,16.7395123010993,8.88764510711371,8.88704850764467,0.0130648383074572,-0.00682596507039987,0.0894791870290251,15.95,-0.0162990102763368,0.354111804733308,-0.71035814755362,0.677760127000947,40.9078071384953,6013.4476493588,0.896581330191014,-0.896581330191014,0,-0.680272108843538,11,29,203,0.897266961124955,-0.01629901,0.12539517,4.166666667,NA,11,29,"Bubo blakistoni","Kohyama et al. - 2015 - Spatial and temporal variation at major histocompa.pdf",0.044750432,-0.035765549,30,"Nucleotide",2145,"Animalia","Strigiformes","Strigidae",2.166666667,-8
