"","Recent.Diversity","Early.Diversity","Percent.Change","Lower.CI","Upper.CI","SE.Percent.Change","Effective.N","Hedges.g.recalc","Hedges.g.SE.recalc","Hedges.g.CI.lower.recalc","Hedges.g.CI.upper.recalc","SD.Percent.Change","CV.Percent.Change","pvalue","pvalue_signed","pvalue_color","HedgesG","HedgesG.err","Gen.interval","N.Loci","Early.Sample.N","Recent.Sample.N","Percent.Change.truncated","Binomen.rotl","PaperID","Z.Year.Midpoint","Z.Gen.interval","totalbp","pvalueconservative"
"7",0.0267,0.0317,-15.7728706624606,-21.4732830082947,-10.0724583166265,2.90837364583372,8.23529411764706,-2.52519936966304,0.656052695016128,-3.81106265189465,-1.23933608743143,5.92858546919042,37.5872318746672,0,0,-1,-0.06181233,0.000129974,0.078740157,15395,"7","10",-15.7728706624606,"Lagenorhynchus acutus","Fernandez et al. - 2016 - A genomewide catalogue of single nucleotide polymo.pdf",0.065009475,-0.041777789,15395,0
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0.613,0.694,-11.671469740634,-15.4096793695951,-7.93326011167289,1.90724981069444,17.1428571428571,-1.91484459637312,0.411153368932637,-2.72070519948109,-1.10898399326515,5.95567086522587,51.0275997588489,9.53714248332904e-05,-9.53714248332904e-05,0,-1.868063594,0.4787359,6.363636364,6,"15","20",-11.671469740634,"Lutra lutra","Arrendal et al. - 2004 - Genetic evaluation of an otter translocation progr.pdf",0.031858314,-0.032534398,6,0.000443884734880662
"19",0.8175,0.8125,0.615384615384616,0.423850279452715,0.806918951316517,0.0977215999652556,158.059171597633,0.610331696940597,0.114910972683106,0.38510619048171,0.835557203399484,1.00602667251985,163.479334284475,0.273710245637821,0.273710245637821,0,0.569463653,0.520268053,2.947368421,9,"212","126",0.615384615384616,"Alosa sapidissima","Aunins et al. - 2014 - Genetic Evaluation of Supplementation-Assisted Ame.pdf",0.058563416,-0.037558808,9,0.274494259085795
"29",0.725,0.726,-0.137741046831956,-9.30886060409574,9.03337851043183,4.67914263125703,54.4426229508197,-0.00515869220037883,0.19166646023963,-0.380824954270054,0.370507569869296,26.5335404255608,19263.3503489571,0.958882957142207,-0.958882957142207,0,-0.014730514,0.285722035,5.192307692,7,"41","81",-0.137741046831956,"Tympanuchus cupido","Bateson-2014-Genetic restoration of a threaten.pdf",0.066390773,-0.034257107,7,0.958968678787405
"31",0.83,0.71,16.9014084507042,13.2849725849166,20.5178443164918,1.84512033968755,22.4,2.58126859927803,0.404126793460406,1.78918008409564,3.37335711446043,6.43284178857515,38.060980582403,0.236141670150137,0.236141670150137,0,1.532451567,1.293550976,13.69863014,2,"24","21",16.9014084507042,"Salmo salar","Ciborowski et al. - 2017 - Temporal and spatial instability in neutral and ad.pdf",0.016203599,-0.021746596,2,0.242648402129646
"33",0.735,0.55,33.6363636363636,28.6013200408365,38.6714072318908,2.56889979363631,28.280701754386,3.31837900127123,0.40903903146161,2.51666249960647,4.12009550293599,9.99752937173443,29.7223846186699,0.185780991456437,0.185780991456437,0,1.955875202,1.478180976,13.69863014,2,"26","31",33.6363636363636,"Salmo salar","Ciborowski et al. - 2017 - Temporal and spatial instability in neutral and ad.pdf",0.016203599,-0.021746596,2,0.191255587484832
"38",0.933,0.941,-0.850159404888406,-1.99414185568816,0.29382304591135,0.583664515714161,31.6106194690265,-0.375416218445629,0.25277162292359,-0.870848599375865,0.120016162484608,2.24924251066796,264.567150317323,0.310024415820071,-0.310024415820071,0,-0.343377641,0.338246175,0.25,6,"19","94",-0.850159404888406,"Paracentrotus lividus","Couvray et al. - 2015 - Experimental Release of Juvenile Sea Urchins ( i.pdf",0.079743324,-0.041525911,6,0.312232107541734
"39",0.932,0.941,-0.956429330499458,-1.60289204054739,-0.309966620451523,0.329827913289763,68.358024691358,-0.528299065433879,0.173548668216465,-0.868454455138151,-0.188143675729607,1.80189425694083,188.398055086815,0.167472545792797,-0.167472545792797,0,-0.472990937,0.342655018,0.25,6,"49","113",-0.956429330499458,"Paracentrotus lividus","Couvray et al. - 2015 - Experimental Release of Juvenile Sea Urchins ( i.pdf",0.079743324,-0.041525911,6,0.169398016500168
