"","label","fixed_str","random_str","prior_str","DIC","center","se","hpi_lower","hpi_upper","hpi_half_width","significant","summary_string"
"1","m6_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10); G4(nu=10)",-4893.18942067932,-6.23942121526085,3.13870144651913,-12.0106056742952,0.308046542762895,6.15932610852906,FALSE,"-6.24 ± 6.16 (95% HPI)"
"2","m1_pfix","none","none","R(nu=100)",-4868.25838970274,-0.0600474983162179,0.0456890721664878,-0.142802012398533,0.0347542703384534,0.0887781413684934,FALSE,"-0.06 ± 0.09 (95% HPI)"
"3","mshaw1_preg","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-4861.96118627451,-10.0396000887804,0.845981680520136,-11.6932120619458,-8.47392691384448,1.60964257405067,TRUE,"-10.04 ± 1.61 (95% HPI)"
"4","m4_pfix"," M.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4849.97438816241,-0.063571117240625,0.0472035787391573,-0.153293498215135,0.0232133037643507,0.0882534009897427,FALSE,"-0.06 ± 0.09 (95% HPI)"
"5","mshaw2_pfix","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4848.25094060013,0.0452285768153671,0.0483336062716548,-0.0501799672783818,0.14006833302119,0.0951241501497861,FALSE,"0.05 ± 0.10 (95% HPI)"
"6","m5_pfix"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=100); G1(nu=100); G2(nu=100); G3(nu=100)",-4847.12060130056,-0.062868559354629,0.0449525281818181,-0.14552684588125,0.0292192720226012,0.0873730589519255,FALSE,"-0.06 ± 0.09 (95% HPI)"
"7","m6_pfix"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=100); G1(nu=100); G2(nu=100); G3(nu=100); G4(nu=100)",-4838.37039105057,-0.0627199301786626,0.0488392664703724,-0.153242041284102,0.0367699317002916,0.0950059864921968,FALSE,"-0.06 ± 0.10 (95% HPI)"
"8","mshaw1_pfix","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4836.6160924498,-0.436729634425034,0.169073639486312,-0.776969006230502,-0.115749136797604,0.330609934716449,TRUE,"-0.44 ± 0.33 (95% HPI)"
"9","m2_pfix","none","PaperID","R(nu=100); G1(nu=100)",-4835.68802134058,-0.0592928725522662,0.046540341651815,-0.142523874834296,0.0292261298454832,0.0858750023398898,FALSE,"-0.06 ± 0.09 (95% HPI)"
"10","m3_pfix"," M.Gen.interval","none","R(nu=100)",-4832.53222243355,-0.0627195399936055,0.0435286915950908,-0.154990485869348,0.0153108850645367,0.0851506854669424,FALSE,"-0.06 ± 0.09 (95% HPI)"
"11","m5_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10)",-4812.24880495873,-3.01009276895128,0.542984777364554,-4.10577838038762,-1.97760237570037,1.06408800234362,TRUE,"-3.01 ± 1.06 (95% HPI)"
"12","mshaw2_preg","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-4807.63167794196,-0.523667661787226,0.567904779965123,-1.67950549868692,0.55428676232259,1.11689613050476,FALSE,"-0.52 ± 1.12 (95% HPI)"
"13","mshaw1_pweak","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",6369.63582677743,-4.97402053509779,0.892129598178518,-6.7720512488886,-3.2656442533189,1.75320349778485,TRUE,"-4.97 ± 1.75 (95% HPI)"
"14","mshaw2_none","M.Year.Midpoint + M.Gen.interval","PaperID","none",6371.04810060107,-1.47722383114756,0.514437679168227,-2.43207274932956,-0.498924279731,0.966574234799282,TRUE,"-1.48 ± 0.97 (95% HPI)"
"15","mshaw1_none","Z.Year.Midpoint + Z.Gen.interval","PaperID","none",6376.59959667104,-4.93045196331295,0.909664057558004,-6.70281782594975,-3.20307308755582,1.74987236919696,TRUE,"-4.93 ± 1.75 (95% HPI)"
"16","mshaw2_pweak","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",6376.61199067284,-1.46623142362848,0.502286861697782,-2.37202003909624,-0.458028348059088,0.956995845518577,TRUE,"-1.47 ± 0.96 (95% HPI)"
"17","m6_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","none",6409.1805509166,-5.84947788024907,4.53191792908879,-15.3317795698385,0.975150491984095,8.15346503091132,FALSE,"-5.85 ± 8.15 (95% HPI)"
"18","m6_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002); G4(nu=0.002)",6413.61038151011,-5.65287442409093,4.64142534419218,-14.6542339821317,1.34379126465501,7.99901262339336,FALSE,"-5.65 ± 8.00 (95% HPI)"
"19","m2_preg","none","PaperID","R(nu=10); G1(nu=10)",6443.29467744321,-2.10661874152992,0.468784452095491,-2.99594666491612,-1.18990200787084,0.903022328522638,TRUE,"-2.11 ± 0.90 (95% HPI)"
"20","m5_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","none",6450.45395352287,-3.02642993583256,3.7301755016303,-8.90349750750465,2.43638116287184,5.66993933518825,FALSE,"-3.03 ± 5.67 (95% HPI)"
"21","m4_none"," M.Gen.interval","PaperID","none",6451.79274017296,-1.94419932445338,0.516021359864734,-3.07547281232519,-1.00719247998495,1.03414016617012,TRUE,"-1.94 ± 1.03 (95% HPI)"
"22","m2_pweak","none","PaperID","R(nu=0.002); G1(nu=0.002)",6453.04408385316,-2.06998815556939,0.474055732182556,-2.94497624593714,-1.13085424285964,0.90706100153875,TRUE,"-2.07 ± 0.91 (95% HPI)"
"23","m5_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002)",6453.18381423822,-2.70247923711634,4.63897686179348,-8.77236307630665,2.4487481547294,5.61055561551802,FALSE,"-2.70 ± 5.61 (95% HPI)"
"24","m4_pweak"," M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",6456.3429970634,-1.93528945014688,0.47811042774099,-2.8920465362462,-1.02774695011612,0.932149793065037,TRUE,"-1.94 ± 0.93 (95% HPI)"
"25","m2_none","none","PaperID","none",6457.26427176308,-2.13091491683807,0.459237250257906,-3.10685649648076,-1.30643696252446,0.900209766978151,TRUE,"-2.13 ± 0.90 (95% HPI)"
"26","m4_preg"," M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",6777.29224422563,-1.6032304961662,0.364926059935239,-2.3370392599245,-0.94194904647884,0.697545106722828,TRUE,"-1.60 ± 0.70 (95% HPI)"
"27","m3_preg"," M.Gen.interval","none","R(nu=10)",6777.80380950251,-1.64116316393721,0.37254043515393,-2.40197796289249,-0.933633009713958,0.734172476589265,TRUE,"-1.64 ± 0.73 (95% HPI)"
"28","m1_preg","none","none","R(nu=10)",6785.02173315031,-1.82253228177053,0.35274831489442,-2.56311899999855,-1.18201765547565,0.690550672261452,TRUE,"-1.82 ± 0.69 (95% HPI)"
"29","m3_pweak"," M.Gen.interval","none","R(nu=0.002)",6790.59298540767,-1.61529119871289,0.368879806826502,-2.33839146961691,-0.952777892380254,0.692806788618327,TRUE,"-1.62 ± 0.69 (95% HPI)"
