"","label","fixed_str","random_str","prior_str","DIC","center","se","hpi_lower","hpi_upper","hpi_half_width","significant","summary_string"
"1","mshaw1_preg","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-4199.98674876235,-13.9565011400156,1.43523358077821,-16.7624417264888,-11.2511960807751,2.75562282285682,TRUE,"-13.96 ± 2.76 (95% HPI)"
"2","m4_preg"," M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-4171.17082066814,-0.765216858365405,0.972458791424181,-2.70208049777284,1.00495779905395,1.8535191484134,FALSE,"-0.77 ± 1.85 (95% HPI)"
"3","m5_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10)",-4090.70012850886,-2.21609462351714,0.977263109402553,-4.16323556402494,-0.448552460569772,1.85734155172759,TRUE,"-2.22 ± 1.86 (95% HPI)"
"4","mshaw2_pfix","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4062.75412926739,-1.00543425088671,0.0753679960439827,-1.14386892427865,-0.853124441346154,0.145372241466248,TRUE,"-1.01 ± 0.15 (95% HPI)"
"5","m1_pfix","none","none","R(nu=100)",-4062.1466412887,-1.4979826733036,0.0686772818617833,-1.63239685711596,-1.36188453881186,0.13525615915205,TRUE,"-1.50 ± 0.14 (95% HPI)"
"6","m4_pfix"," M.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4060.54458549507,-1.49109668377002,0.070213207878399,-1.6335569183866,-1.35785296658287,0.137851975901867,TRUE,"-1.49 ± 0.14 (95% HPI)"
"7","m2_pfix","none","PaperID","R(nu=100); G1(nu=100)",-4060.28487183567,-1.50058439815699,0.0691028268752841,-1.63203587302996,-1.37113966327888,0.130448104875541,TRUE,"-1.50 ± 0.13 (95% HPI)"
"8","m3_pfix"," M.Gen.interval","none","R(nu=100)",-4059.69205290327,-1.49370744241762,0.0707424639824138,-1.62087689204054,-1.35200217829697,0.134437356871786,TRUE,"-1.49 ± 0.13 (95% HPI)"
"9","mshaw1_pfix","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4058.14378166273,-3.70169847089297,0.176910593051396,-4.01331443657182,-3.31531151274794,0.349001461911939,TRUE,"-3.70 ± 0.35 (95% HPI)"
"10","m5_pfix"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=100); G1(nu=100); G2(nu=100); G3(nu=100)",-4052.68903850981,-1.49416792274167,0.0696340641816713,-1.63506128323206,-1.36111709058605,0.136972096323007,TRUE,"-1.49 ± 0.14 (95% HPI)"
