"","label","fixed_str","random_str","prior_str","DIC","center","se","hpi_lower","hpi_upper","hpi_half_width","significant","summary_string"
"1","m6_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002); G4(nu=0.002)",1322.80145429209,-0.423225623910919,0.41818554959386,-1.19219841746963,0.323504187254002,0.757851302361814,FALSE,"-0.42 ± 0.76 (95% HPI)"
"2","m6_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","none",1323.85239735175,-0.434919642169938,0.41668019842316,-1.20465452465578,0.34372318959413,0.774188857124955,FALSE,"-0.43 ± 0.77 (95% HPI)"
"3","m6_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10); G4(nu=10)",1344.70390917315,-0.379190521836108,0.202290648264182,-0.768301587871974,0.0306939030560898,0.399497745464032,FALSE,"-0.38 ± 0.40 (95% HPI)"
"4","mshaw2_pweak","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",1350.00129619996,-0.0248656385642421,0.022742054065956,-0.0680892358068377,0.02055059486338,0.0443199153351088,FALSE,"-0.02 ± 0.04 (95% HPI)"
"5","mshaw2_none","M.Year.Midpoint + M.Gen.interval","PaperID","none",1350.5295722692,-0.0244845381025025,0.0225235202937085,-0.0667197590373689,0.0208405499288347,0.0437801544831018,FALSE,"-0.02 ± 0.04 (95% HPI)"
"6","mshaw1_pweak","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",1350.60479193785,-0.228459565714491,0.0452191672307077,-0.314928961946862,-0.137218018440763,0.0888554717530496,TRUE,"-0.23 ± 0.09 (95% HPI)"
"7","mshaw1_none","Z.Year.Midpoint + Z.Gen.interval","PaperID","none",1350.62257942082,-0.229090022935646,0.0450337965708642,-0.3177285299098,-0.140236528764945,0.0887460005724279,TRUE,"-0.23 ± 0.09 (95% HPI)"
"8","m2_none","none","PaperID","none",1399.48272058652,-0.0575282419140691,0.0208483873780721,-0.0981646266300231,-0.0158786796710046,0.0411429734795092,TRUE,"-0.06 ± 0.04 (95% HPI)"
"9","m2_pweak","none","PaperID","R(nu=0.002); G1(nu=0.002)",1399.82178008779,-0.0576920261167341,0.0209106092354927,-0.0980964916525409,-0.0160051574275712,0.0410456671124848,TRUE,"-0.06 ± 0.04 (95% HPI)"
"10","m4_pweak"," M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",1400.46360647997,-0.0481831156090625,0.0218108540860407,-0.0922481271227298,-0.00741951071540825,0.0424143082036608,TRUE,"-0.05 ± 0.04 (95% HPI)"
"11","m4_none"," M.Gen.interval","PaperID","none",1400.89710195039,-0.0480071770598806,0.0219350915461583,-0.0922779264656128,-0.00724976760102436,0.0425140794322942,TRUE,"-0.05 ± 0.04 (95% HPI)"
"12","m5_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","none",1402.34535547895,-0.0670675677714332,0.161926183437485,-0.279172279173508,0.162242801655339,0.220707540414423,FALSE,"-0.07 ± 0.22 (95% HPI)"
"13","m5_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002)",1403.25280362934,-0.0648980848143149,0.227518601172194,-0.273470000931411,0.15943517312553,0.216452587028471,FALSE,"-0.06 ± 0.22 (95% HPI)"
"14","mshaw2_pfix","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=100); G1(nu=100)",1413.05044043541,-0.0256925691051079,0.0175575403031679,-0.0619238662475254,0.00655561369785573,0.0342397399726906,FALSE,"-0.03 ± 0.03 (95% HPI)"
"15","mshaw1_pfix","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=100); G1(nu=100)",1413.55191749485,-0.191258698140384,0.0365353751630811,-0.265563274777378,-0.122521285578841,0.0715209945992683,TRUE,"-0.19 ± 0.07 (95% HPI)"
"16","m6_pfix"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=100); G1(nu=100); G2(nu=100); G3(nu=100); G4(nu=100)",1435.31870334661,-0.0405880282132477,0.0179733677557115,-0.0756430376350181,-0.00581889607929043,0.0349120707778638,TRUE,"-0.04 ± 0.03 (95% HPI)"
"17","m5_pfix"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=100); G1(nu=100); G2(nu=100); G3(nu=100)",1435.43789345277,-0.0402694925112543,0.0179101682703758,-0.074621341918828,-0.00473671316285618,0.0349423143779859,TRUE,"-0.04 ± 0.03 (95% HPI)"
