"","label","fixed_str","random_str","prior_str","DIC","center","se","hpi_lower","hpi_upper","hpi_half_width","significant","summary_string"
"1","m6_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002); G4(nu=0.002)",8780.39834273165,-0.252605694882916,0.240655650356103,-0.701588157651713,0.232586818950949,0.467087488301331,FALSE,"-0.25 ± 0.47 (95% HPI)"
"2","m6_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","none",8782.18442867709,-0.248870649040009,0.251177140502491,-0.696500089092297,0.227161829039687,0.461830959065992,FALSE,"-0.25 ± 0.46 (95% HPI)"
"3","m6_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10); G4(nu=10)",8804.73018725776,-0.304891415951491,0.0910234284950533,-0.481919316240237,-0.118253979046131,0.181832668597053,TRUE,"-0.30 ± 0.18 (95% HPI)"
"4","m2_preg","none","PaperID","R(nu=10); G1(nu=10)",8871.78784834712,-0.116821768045317,0.0265411824381371,-0.168970549337246,-0.0654299619145604,0.0517702937113427,TRUE,"-0.12 ± 0.05 (95% HPI)"
"5","m5_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10)",8872.70444761667,-0.113476807963829,0.0277338091324682,-0.166398902962101,-0.0581364232348278,0.0541312398636364,TRUE,"-0.11 ± 0.05 (95% HPI)"
"6","m4_preg"," M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",8873.18892333572,-0.115347857646614,0.0266963109139829,-0.169006645854097,-0.0639374501915881,0.0525345978312544,TRUE,"-0.12 ± 0.05 (95% HPI)"
"7","m2_pweak","none","PaperID","R(nu=0.002); G1(nu=0.002)",8873.53135590472,-0.117322532602269,0.0266010390368121,-0.168138439792529,-0.0643380459296168,0.0519001969314559,TRUE,"-0.12 ± 0.05 (95% HPI)"
"8","m5_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002)",8873.79197780114,-0.0346802310043313,0.158017172110323,-0.267620342448936,0.279351470569964,0.27348590650945,FALSE,"-0.03 ± 0.27 (95% HPI)"
"9","m2_none","none","PaperID","none",8873.91936424432,-0.11708225576184,0.0266439549963749,-0.16804962842798,-0.0647079823247623,0.0516708230516087,TRUE,"-0.12 ± 0.05 (95% HPI)"
"10","m4_none"," M.Gen.interval","PaperID","none",8874.17112450916,-0.116032666267913,0.0269441150733297,-0.171484014186717,-0.0659224941337015,0.0527807600265078,TRUE,"-0.12 ± 0.05 (95% HPI)"
"11","m4_pweak"," M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",8874.31433773482,-0.116450250936663,0.026651218054089,-0.16957319980429,-0.0651610437344061,0.052206078034942,TRUE,"-0.12 ± 0.05 (95% HPI)"
"12","m5_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","none",8874.60880708364,-0.0342654331085798,0.165939533633285,-0.265859870531131,0.294720177196723,0.280290023863927,FALSE,"-0.03 ± 0.28 (95% HPI)"
