"","label","fixed_str","random_str","prior_str","DIC","center","se","hpi_lower","hpi_upper","hpi_half_width","significant","summary_string"
"1","mshaw1_preg","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-569.77006374708,-0.0273911010922978,0.0175016042037801,-0.0635635034432198,0.00567590772698168,0.0346197055851007,FALSE,"-0.03 ± 0.03 (95% HPI)"
"2","m4_preg"," M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-563.242956194718,-0.0098267580542939,0.00946873037324833,-0.0268935537023935,0.00986068675410934,0.0183771202282514,FALSE,"-0.01 ± 0.02 (95% HPI)"
"3","mshaw2_preg","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-561.481607550342,-0.00602405761315157,0.00966090573769798,-0.0254928152426146,0.013117814771249,0.0193053150069318,FALSE,"-0.01 ± 0.02 (95% HPI)"
"4","mshaw2_pweak","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",-561.289758420156,-0.00723457244726336,0.0101291558310529,-0.0278063018049579,0.0120313582301605,0.0199188300175592,FALSE,"-0.01 ± 0.02 (95% HPI)"
"5","m6_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002); G4(nu=0.002)",-560.952753806818,-0.0430643598289938,0.109239245733893,-0.159461441578969,0.159571278436033,0.159516360007501,FALSE,"-0.04 ± 0.16 (95% HPI)"
"6","m2_preg","none","PaperID","R(nu=10); G1(nu=10)",-560.337678397262,-0.0097747996276688,0.00856315021242065,-0.0259697391375084,0.0070031342911534,0.0164864367143309,FALSE,"-0.01 ± 0.02 (95% HPI)"
"7","mshaw2_none","M.Year.Midpoint + M.Gen.interval","PaperID","none",-560.284148063663,-0.00652588397746728,0.0104411740640622,-0.0264888135852743,0.0128362650211784,0.0196625393032264,FALSE,"-0.01 ± 0.02 (95% HPI)"
"8","mshaw1_none","Z.Year.Midpoint + Z.Gen.interval","PaperID","none",-560.040187055594,-0.027513798015283,0.0188851044545301,-0.0646666079119314,0.00712167281744769,0.0358941403646895,FALSE,"-0.03 ± 0.04 (95% HPI)"
"9","m2_pweak","none","PaperID","R(nu=0.002); G1(nu=0.002)",-560.037896858558,-0.0101807936094785,0.00932743296713059,-0.0285179098282242,0.00785830611130223,0.0181881079697632,FALSE,"-0.01 ± 0.02 (95% HPI)"
"10","m6_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","none",-560.026203555205,-0.0381589879375636,0.0976177686645904,-0.200569616466964,0.10063725154032,0.150603434003642,FALSE,"-0.04 ± 0.15 (95% HPI)"
