"","label","fixed_str","random_str","prior_str","DIC","center","se","hpi_lower","hpi_upper","hpi_half_width","significant","summary_string"
"1","m6_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10); G4(nu=10)",-10836.0969066973,0.468976732673771,2.61792842653783,-5.18853889073944,5.46261128620245,5.32557508847094,FALSE,"0.47 ± 5.33 (95% HPI)"
"2","m2_preg","none","PaperID","R(nu=10); G1(nu=10)",-8584.40598141223,-0.767744682434164,0.97090953615224,-2.71553303695691,1.05261211868856,1.88407257782274,FALSE,"-0.77 ± 1.88 (95% HPI)"
"3","mshaw1_preg","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-4107.0696001427,-13.0647462645375,1.56353257664693,-16.1484664430609,-10.009517294402,3.06947457432943,TRUE,"-13.06 ± 3.07 (95% HPI)"
"4","m5_preg"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=10); G1(nu=10); G2(nu=10); G3(nu=10)",-4074.85277427349,-0.71588811487298,0.967057190787176,-2.61951719987701,1.15397745904193,1.88674732945947,FALSE,"-0.72 ± 1.89 (95% HPI)"
"5","mshaw2_preg","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",-4072.6713241483,2.09499214111826,1.02352086618909,0.153935523259861,4.1408767636749,1.99347062020752,TRUE,"2.09 ± 1.99 (95% HPI)"
"6","mshaw1_pfix","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4059.58628620304,-3.37710820022228,0.179136433475912,-3.74681124316703,-3.04355462309468,0.351628310036176,TRUE,"-3.38 ± 0.35 (95% HPI)"
"7","mshaw2_pfix","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4057.85361534497,-0.563244175717397,0.0753089349243567,-0.712528577525518,-0.416044183417398,0.14824219705406,TRUE,"-0.56 ± 0.15 (95% HPI)"
"8","m5_pfix"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=100); G1(nu=100); G2(nu=100); G3(nu=100)",-4057.03684012435,-1.0552153998907,0.0713763784135117,-1.19659749730636,-0.92041905791848,0.138089219693939,TRUE,"-1.06 ± 0.14 (95% HPI)"
"9","m6_pfix"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=100); G1(nu=100); G2(nu=100); G3(nu=100); G4(nu=100)",-4056.24079092239,-1.05679292476834,0.0710297079638607,-1.19364231388317,-0.916871288034599,0.138385512924287,TRUE,"-1.06 ± 0.14 (95% HPI)"
"10","m1_pfix","none","none","R(nu=100)",-4055.47285993072,-1.07091163845623,0.0683106742060946,-1.20357213816169,-0.939469352262677,0.132051392949506,TRUE,"-1.07 ± 0.13 (95% HPI)"
"11","m3_pfix"," M.Gen.interval","none","R(nu=100)",-4052.77265952787,-1.05603313273914,0.0703460463971775,-1.19484068313068,-0.922858165329671,0.135991258900503,TRUE,"-1.06 ± 0.14 (95% HPI)"
"12","m4_pfix"," M.Gen.interval","PaperID","R(nu=100); G1(nu=100)",-4051.24855051962,-1.05689523621963,0.0709245173773285,-1.19226288097161,-0.917376516510558,0.137443182230527,TRUE,"-1.06 ± 0.14 (95% HPI)"
"13","m2_pfix","none","PaperID","R(nu=100); G1(nu=100)",-4050.42539004674,-1.07268447739749,0.0688429612347239,-1.21355317732559,-0.943541130254744,0.135006023535425,TRUE,"-1.07 ± 0.14 (95% HPI)"
"14","mshaw2_pweak","M.Year.Midpoint + M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",6589.67607801282,0.127857206723442,1.02675650350984,-1.95490858601261,2.05357556162926,2.00424207382093,FALSE,"0.13 ± 2.00 (95% HPI)"
"15","mshaw1_none","Z.Year.Midpoint + Z.Gen.interval","PaperID","none",6589.95457555295,-1.95400580430269,1.85725055263604,-5.54730014014058,1.67871075529547,3.61300544771802,FALSE,"-1.95 ± 3.61 (95% HPI)"
"16","mshaw1_pweak","Z.Year.Midpoint + Z.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",6590.09507206135,-1.95283627120682,1.85394336028533,-5.4292287788121,1.78548340413909,3.60735609147559,FALSE,"-1.95 ± 3.61 (95% HPI)"
"17","m2_none","none","PaperID","none",6590.95315113831,-0.251988450473981,0.967898749855402,-2.13750273449114,1.65339629846858,1.89544951647986,FALSE,"-0.25 ± 1.90 (95% HPI)"
"18","m2_pweak","none","PaperID","R(nu=0.002); G1(nu=0.002)",6591.20634144664,-0.256401438443387,0.949974208066049,-2.05308941838575,1.64900775448768,1.85104858643672,FALSE,"-0.26 ± 1.85 (95% HPI)"
"19","mshaw2_none","M.Year.Midpoint + M.Gen.interval","PaperID","none",6591.57449090636,0.142118525407177,1.03017385854902,-1.93273139277153,2.10173116500664,2.01723127888908,FALSE,"0.14 ± 2.02 (95% HPI)"
"20","m5_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","none",6591.87867935227,-0.859852611416983,3.24074684415021,-5.03061581812653,3.50176728783845,4.26619155298249,FALSE,"-0.86 ± 4.27 (95% HPI)"
"21","m6_none"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","none",6592.02293184952,-1.0964396754112,3.22699044535114,-6.80610507215897,3.69462471243605,5.25036489229751,FALSE,"-1.10 ± 5.25 (95% HPI)"
"22","m6_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl + Marker.Type","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002); G4(nu=0.002)",6592.50356109909,-1.14560420055918,3.36991564978395,-6.76805189195147,3.60560661938507,5.18682925566827,FALSE,"-1.15 ± 5.19 (95% HPI)"
"23","m5_pweak"," M.Gen.interval","PaperID + Kingdom + Binomen.rotl","R(nu=0.002); G1(nu=0.002); G2(nu=0.002); G3(nu=0.002)",6592.60953684853,-0.771224894878039,3.07665216623411,-5.01374088377634,2.82352794293547,3.9186344133559,FALSE,"-0.77 ± 3.92 (95% HPI)"
"24","m4_none"," M.Gen.interval","PaperID","none",6592.62642419585,-0.182856449669238,0.99352265336462,-2.13076030595107,1.74230169092334,1.93653099843721,FALSE,"-0.18 ± 1.94 (95% HPI)"
"25","m4_pweak"," M.Gen.interval","PaperID","R(nu=0.002); G1(nu=0.002)",6592.77077247358,-0.189483502392368,0.995727071417536,-2.09456352634879,1.81194655052968,1.95325503843924,FALSE,"-0.19 ± 1.95 (95% HPI)"
"26","m1_preg","none","none","R(nu=10)",6754.5295641215,0.445381609782812,0.765060483888956,-1.08602442168922,1.88462385733146,1.48532413951034,FALSE,"0.45 ± 1.49 (95% HPI)"
"27","m4_preg"," M.Gen.interval","PaperID","R(nu=10); G1(nu=10)",6755.46069325847,0.626249321595004,0.803369428723344,-0.992652167344204,2.15763951798726,1.57514584266573,FALSE,"0.63 ± 1.58 (95% HPI)"
"28","m3_preg"," M.Gen.interval","none","R(nu=10)",6755.59386877566,0.601379320843895,0.79445868374259,-0.90592875846778,2.18765247214469,1.54679061530624,FALSE,"0.60 ± 1.55 (95% HPI)"
"29","m1_pweak","none","none","R(nu=0.002)",6760.31123511411,0.453748682963812,0.77220118564558,-1.12014504967374,1.91503810948052,1.51759157957713,FALSE,"0.45 ± 1.52 (95% HPI)"
"30","m1_none","none","none","none",6760.69336497982,0.452084134713678,0.776470426780462,-1.11534531465441,1.88609989557881,1.50072260511661,FALSE,"0.45 ± 1.50 (95% HPI)"
"31","m3_pweak"," M.Gen.interval","none","R(nu=0.002)",6761.70382689394,0.641292515014069,0.80505774957891,-0.957532644359162,2.2139346976619,1.58573367101053,FALSE,"0.64 ± 1.59 (95% HPI)"
"32","m3_none"," M.Gen.interval","none","none",6761.95959790597,0.630098074185431,0.809503434162778,-0.933290604836657,2.20419956868864,1.56874508676265,FALSE,"0.63 ± 1.57 (95% HPI)"
